air_temperature_2m,black_sky_albedo,black_sky_albedo_avhrr,cee,cer,cfc,cot,cph,cth,ctp,ctt,fapar_tip,gross_primary_productivity,iwp,latent_energy,leaf_area_index,lwp,max_air_temperature_2m,min_air_temperature_2m,net_ecosystem_exchange,net_radiation,par,precipitation,precipitation_era5,sensible_heat,stemp,terrestrial_ecosystem_respiration,white_sky_albedo,white_sky_albedo_avhrr,time
294.58725,0.052280545,0.123217925,0.71970576,11.090158,0.36996242,5.6506615,0.7970622,4.454818,638.0894,275.9352,0.29725632,5.7697396,36.39398,9.908246,0.65377045,37.321552,298.92062,290.58017,-1.031353,12.855693,105.45,0.4934731,0.30231252,2.5707996,296.0291,4.232833,0.06288124,0.12572862,2002-01-05
294.4021,0.05120573,0.114324026,0.71970576,11.090158,0.36996242,5.6506615,0.7970622,4.454818,638.0894,275.9352,0.32315874,5.4860067,36.39398,9.751111,0.6179369,37.321552,298.73526,290.25064,-0.9432965,12.44074,101.82,0.72951245,0.122569956,2.4638765,296.0291,4.0741158,0.063040994,0.117461875,2002-01-13
294.32126,0.05068896,0.106064096,0.71970576,11.090158,0.36996242,5.6506615,0.7970622,4.454818,638.0894,275.9352,0.35187548,5.4568777,36.39398,10.212141,0.65952206,37.321552,300.0248,289.72998,-0.9585855,13.20223,105.417145,0.02147145,0.10123505,2.760382,296.0291,4.1040416,0.06460937,0.10818515,2002-01-21
295.1987,0.05084365,0.10200343,0.72201115,10.993088,0.3975665,5.8334618,0.7901911,4.558244,630.80536,275.38513,0.41239828,5.6565623,47.161354,10.424377,0.9835574,37.54937,300.97653,289.75546,-0.988186,13.893041,123.66,0.17263629,0.059320983,3.3467364,296.03955,4.2030163,0.06452234,0.10264603,2002-01-29
294.5479,0.05045128,0.10695162,0.73814875,10.313591,0.5907946,7.1130633,0.7420934,5.282227,579.81696,271.53464,0.3585883,4.613929,122.53286,8.932035,0.71409,39.1441,299.5934,290.83334,-0.781044,11.606359,90.222855,1.7879783,0.06955639,2.4121208,296.11252,3.7029939,0.06413107,0.10865736,2002-02-06
295.12943,0.049994346,0.112491034,0.73814875,10.313591,0.5907946,7.1130633,0.7420934,5.282227,579.81696,271.53464,0.30114558,5.5072947,122.53286,10.324825,0.53106356,39.1441,300.36002,290.708,-0.99895203,14.04604,121.26,0.13737008,0.040366206,3.2720833,296.11252,4.089771,0.06491644,0.11713688,2002-02-14
295.35248,0.04989163,0.1150989,0.73814875,10.313591,0.5907946,7.1130633,0.7420934,5.282227,579.81696,271.53464,0.3067148,5.3702245,122.53286,9.964947,0.6551108,39.1441,300.70706,291.00882,-0.86452967,13.879913,115.57,0.03986214,0.09825639,3.3435543,296.11252,4.1603556,0.06532486,0.12201665,2002-02-22
295.14224,0.04933746,0.1206643,0.7636593,12.516737,0.590642,6.4999084,0.65334356,5.9268627,543.7309,267.55997,0.34295863,5.053001,82.74813,9.632052,0.89498246,40.37319,300.81137,290.17892,-0.8127053,13.261502,106.62666,0.4958629,0.05229633,2.973549,295.9971,4.036149,0.06584577,0.12496474,2002-03-02
295.20874,0.05018979,0.1288146,0.77896553,13.83862,0.59055036,6.132017,0.6000939,6.313643,522.07935,265.17517,0.3926645,5.141429,58.877384,9.631605,1.2552743,41.11064,301.8969,291.18884,-0.8289096,13.357342,108.275,6.429343,0.09361085,2.9437368,295.92786,4.1099567,0.06707788,0.13009657,2002-03-10
295.33212,0.052030627,0.14207368,0.77896553,13.83862,0.59055036,6.132017,0.6000939,6.313643,522.07935,265.17517,0.32789215,4.958658,58.877384,9.28126,1.0647246,41.11064,301.2691,291.64282,-0.74855256,12.696416,103.84,1.3527082,0.22765934,2.4108355,295.92786,3.9531906,0.07082696,0.14545459,2002-03-18
